hotelname,nearest location,images,address,amenities,about hotel,rates
Treebo Indiana Pride,"Jaipur, 3.5 km to City centre",https://imgio.trivago.com/partnerimages/21/71/217187952_x.jpeg,"No 4, District Shopping Centre, Behind Laxmi Mandir Cinema, Lalkothi, Tonk Road 302015 Jaipur India",All amenitiesHotel facilities24-hour reception24-hour room serviceBusiness centreCar parkConference roomsFree WiFi in lobbyLaundry serviceLiftRestaurantRoom serviceWiFi in lobbyRoom facilitiesAir conditioningBathroom with bathtubBathroom with showerCable TVDeskElectric kettleFanFlatscreen TVFree WiFi in the roomsFridgeInternetIroning boardSatellite TVTelephoneTelevisionWiFi in the rooms,"Modern in style, Treebo Indiana Pride offers budget-friendly and business-focused accommodations with on-site parking and a complimentary daily breakfast. The hotel is situated about a mile from Sawai Man Singh Cricket Stadium and two miles south of Central Park.The bright and airy air-conditioned rooms provide guests with all the basic comforts of a home away from home, such as a tea kettle and a mini-fridge. For entertainment, guests can enjoy cable programming on their flat-screen TV or surf the Internet with the free Wi-Fi.Hotel facilities include a 24-hour reception and a travel desk. Self-service laundry facilities are also available on-site.The restaurant at Treebo Indiana Pride offers a varied menu with Indian and regional dishes, including both vegetarian and non-vegetarian options. Room service is also available throughout the day.The iconic Albert Hall Museum, known for its collection of exquisite art and historical artefact collection, is less than four miles from the hotel. Smriti Van State Park is three miles away. Modern in style, Treebo Indiana Pride offers budget-friendly and business-focused accommodations with on-site parking and a complimentary daily breakfast. The hotel is situated about a mile from Sawai Man Singh Cricket Stadium and two miles south of Central Park.The bright and airy air-conditioned rooms provide guests with all the basic comforts of a home away from home, such as a tea kettle and a mini-fridge. For entertainment, guests can enjoy cable programming on their flat-screen TV or surf the Internet with the free Wi-Fi.Hotel facilities include a 24-hour reception and a travel desk. Self-service laundry facilities are also available on-site.The restaurant at Treebo Indiana Pride offers a varied menu with Indian and regional dishes, including both vegetarian and non-vegetarian options. Room service is also available throughout the day.The iconic Albert Hall Museum, known for its collection of exquisite art and historical artefact collection, is less than four miles from the hotel. Smriti Van State Park is three miles away.","Hotel website?‚¹1,655 Yatra?‚¹1,752 HG2:G25otels.com?‚¹2,466"
Treebo Signature Inn,"Jaipur, 7.7 km to City centre",https://imgio.trivago.com/partnerimages/19/48/194879736_x.jpeg,Civil line Area Ajmer Road 302006 Jaipur India,All amenitiesHotel facilities24-hour room service24-hour receptionAirport shuttleBusiness centreCar parkConciergeConference roomsExpress check-in / outGymHotel barHotel safeHypoallergenic roomsLaundry serviceLiftNon-smoking roomsOutdoor swimming poolPC with internetPool barRestaurantRoom serviceTerraceWashing machineWellness Centre / SpaWiFi in lobbyRoom facilitiesAir conditioningBathroom with showerCable TVCentral heatingCosmetic mirrorDeskElectric kettleFlatscreen TVFree WiFi in the roomsFridgeHairdryerHypoallergenic bedding InternetIroning boardRoom safeSatellite TVTelephoneTelevisionWiFi in the roomsAccessibilityAccessible paths / corridorsDeaf accessibility equipmentWheelchair accessible??,"The ibis Jaipur is a modern property in Jaipur containing an outdoor swimming pool and fitness centre on-site. Parking is also available for all guests of the hotel.Each room is air-conditioned and features coffee and tea making facilities, flat-screen TV and a safety deposit box. The private bathrooms include a shower and hair dryer, plus the beds are fitted with luxury mattresses and bedding.Free Wi-Fi is provided for guests of the hotel, whilst staff can assist with car hire, laundry and a range of business services. The property also features a variety of facilities for disabled guests including wheelchair access.The hotel serves a breakfast buffet each morning and the in-house restaurant, Spice It, serves multicultural cuisine 24 hours a day. The Hub is the hotel's bar. It offers a range of snacks and beverages.Khimsar Fort and Israda Palace Marriage Garden are both within 1.5 kilometres of the ibis Jaipur. The ibis Jaipur is a modern property in Jaipur containing an outdoor swimming pool and fitness centre on-site. Parking is also available for all guests of the hotel.Each room is air-conditioned and features coffee and tea making facilities, flat-screen TV and a safety deposit box. The private bathrooms include a shower and hair dryer, plus the beds are fitted with luxury mattresses and bedding.Free Wi-Fi is provided for guests of the hotel, whilst staff can assist with car hire, laundry and a range of business services. The property also features a variety of facilities for disabled guests including wheelchair access.The hotel serves a breakfast buffet each morning and the in-house restaurant, Spice It, serves multicultural cuisine 24 hours a day. The Hub is the hotel's bar. It offers a range of snacks and beverages.Khimsar Fort and Israda Palace Marriage Garden are both within 1.5 kilometres of the ibis Jaipur.","Expedia?‚¹2,831 Booking.com?‚¹2,832 Agoda?‚¹2,832"
ibis Jaipur,"Jaipur, 4.8 km to City centre",https://imgio.trivago.com/partnerimages/14/31/143199032_x.jpeg,"E-58, Girdhar Marg, Malviya Nagar, JLN Marg Jaipur India",All amenitiesHotel facilities24-hour receptionFree WiFi in lobbyLaundry serviceLiftRestaurantRoom serviceWiFi in lobbyRoom facilitiesAir conditioningBathroom with showerCable TVDeskElectric kettleFlatscreen TVFree WiFi in the roomsFridgeInternetIroning boardRoom safeSatellite TVTelephoneWiFi in the rooms,"Located in Jaipurâ€™s buzzing commercial district, Malviya Nagar, Treebo Signature Inn is a budget hotel less than one mile from upscale shopping and dining complex, the World Trade Park.All 22 rooms have an en-suite bathroom with shower. Free Wi-Fi, cable television, a kettle and air conditioning are provided for guestsâ€™ comfort. Some units come with fridge, safe and/or seating area.Treebo Signature Inn has a 24-hour front desk and offers free parking, facilities for business events, a laundry and a dry cleaning and ironing service.A complimentary buffet breakfast is offered to guests. Regional Indian dishes are served in the hotelâ€™s rooftop restaurant and room service is available. Nearby restaurants include tandoori, barbecue and vegetarian options.From here, Sanganer Airport is just 3.4 miles, Birla Temple is 3.7 miles, Sawai Mansingh Stadium is 4.4 miles, Museum of Indology is 4.5 miles and Jaipur Railway Station is 7.1 miles away. Located in Jaipurâ€™s buzzing commercial district, Malviya Nagar, Treebo Signature Inn is a budget hotel less than one mile from upscale shopping and dining complex, the World Trade Park.All 22 rooms have an en-suite bathroom with shower. Free Wi-Fi, cable television, a kettle and air conditioning are provided for guestsâ€™ comfort. Some units come with fridge, safe and/or seating area.Treebo Signature Inn has a 24-hour front desk and offers free parking, facilities for business events, a laundry and a dry cleaning and ironing service.A complimentary buffet breakfast is offered to guests. Regional Indian dishes are served in the hotelâ€™s rooftop restaurant and room service is available. Nearby restaurants include tandoori, barbecue and vegetarian options.From here, Sanganer Airport is just 3.4 miles, Birla Temple is 3.7 miles, Sawai Mansingh Stadium is 4.4 miles, Museum of Indology is 4.5 miles and Jaipur Railway Station is 7.1 miles away.","Hotel website?‚¹1,917 Expedia?‚¹2,395 Hotels.com?‚¹2,395"
"Four Points by Sheraton Jaipur, City Square","Jaipur, 5.3 km to City centre",https://imgio.trivago.com/partnerimages/14/04/140418520_x.jpeg,"City Square, Vasundhara Colony, Tonk Road 302018 Jaipur India",,,"Expedia?‚¹5,312 Elvoline?‚¹5,994 Trip.com?‚¹7,200"
FabHotel Royal CM Bani Park,"Jaipur, 2.4 km to City centre",https://imgio.trivago.com/uploadimages/28/26/28262818_x.jpeg,"149, Indra Colony, Bani Park Near Space Cinema 302016 Jaipur India",All amenitiesHotel facilities24-hour room service24-hour receptionAirport shuttleBusiness centreCar parkConference roomsGymHotel barLaundry serviceLiftNon-smoking roomsRestaurantRoom serviceWiFi in lobbyRoom facilitiesAir conditioningBathroom with showerCable TVDeskElectric kettleFanFlatscreen TVFree WiFi in the roomsFridgeInternetRoom safeSatellite TVTelephoneWiFi in the roomsAccessibilityAccessible parkingAccessible paths / corridors,"FabHotel Royal CM Bani Park offers well-appointed budget accommodation in a modern property in the district of Indra Colony. In-house facilities include a small fitness centre.All rooms are air-conditioned and feature wooden flooring throughout. TVs, hot drinks making facilities and desks are all included, whilst private bathrooms provide free branded toiletries.Reception is open 24 hours a day and staff can assist with tour and transport bookings, plus luggage storage and laundry services. An ATM is on-site and there is free Wi-Fi provided.The in-house restaurant serves a range of local and international cuisine, plus a breakfast buffet. Room service is also available 24 hours a day.Inox City Plaza Mall is located just five minutes away on foot from FabHotel Royal CM Bani Park, while the historic Pink City district is 3.5 kilometres drive away. Jaipur Railway Station is located three kilometres south of the property. FabHotel Royal CM Bani Park offers well-appointed budget accommodation in a modern property in the district of Indra Colony. In-house facilities include a small fitness centre.All rooms are air-conditioned and feature wooden flooring throughout. TVs, hot drinks making facilities and desks are all included, whilst private bathrooms provide free branded toiletries.Reception is open 24 hours a day and staff can assist with tour and transport bookings, plus luggage storage and laundry services. An ATM is on-site and there is free Wi-Fi provided.The in-house restaurant serves a range of local and international cuisine, plus a breakfast buffet. Room service is also available 24 hours a day.Inox City Plaza Mall is located just five minutes away on foot from FabHotel Royal CM Bani Park, while the historic Pink City district is 3.5 kilometres drive away. Jaipur Railway Station is located three kilometres south of the property.","Hotel website?‚¹2,031 makemytrip?‚¹2,306 Agoda?‚¹2,308"
Treebo Raya Inn,"Jaipur, 1.0 km to City centre",https://imgio.trivago.com/partnerimages/19/01/190137202_x.jpeg,"32, Power House Road , Opp. Jaipur Junction 302006 Jaipur India",All amenitiesHotel facilities24-hour room service24-hour receptionCar parkConciergeFree WiFi in lobbyLaundry serviceRestaurantRoom serviceWiFi in lobbyRoom facilitiesAir conditioningBathroom with showerCable TVDeskElectric kettleFanFlatscreen TVFree WiFi in the roomsFridgeHairdryerInternetIroning boardSatellite TVTelephoneTelevisionWiFi in the rooms,"Set in a prime location of Jaipur, Hotel Raya Inn puts everything the city has to offer just outside your doorstep. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. Service-minded staff will welcome and guide you at the Hotel Raya Inn. Guestrooms are fitted with all the amenities you need for a good night's sleep, including internet accessâ€“ wireless, seating area, internet access â€“ wireless (complimentary), non smoking rooms, air conditioning. The hotel offers various recreational opportunities. No matter what your reasons are for visiting Jaipur, Hotel Raya Inn will make you feel instantly at home. Set in a prime location of Jaipur, Hotel Raya Inn puts everything the city has to offer just outside your doorstep. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. Service-minded staff will welcome and guide you at the Hotel Raya Inn. Guestrooms are fitted with all the amenities you need for a good night's sleep, including internet accessâ€“ wireless, seating area, internet access â€“ wireless (complimentary), non smoking rooms, air conditioning. The hotel offers various recreational opportunities. No matter what your reasons are for visiting Jaipur, Hotel Raya Inn will make you feel instantly at home.","Hotel website?‚¹1,804 Cleartrip?‚¹2,102 Hotels.com?‚¹3,698"
Hilton Jaipur,"Jaipur, 1.7 km to City centre",https://imgio.trivago.com/partnerimages/12/17/121786568_x.jpeg,42 Geejgarh House Hawa Sadak 302006 Jaipur India,All amenitiesHotel facilities24-hour receptionBeach / sun umbrellasBusiness centreCar parkConciergeConference roomsDeck chairs / Sun loungersGymLaundry serviceLiftOutdoor swimming poolPets allowedRestaurantRoom serviceTerraceWiFi in lobbyRoom facilitiesAir conditioningBathroom with bathtubBathroom with showerCentral heatingDeskElectric kettleFanHairdryerIroning boardRoom safeSatellite TVTelephoneTelevisionWiFi in the roomsFor ChildrenChild / Baby cot,"Situated just 1.8 miles away from the Railway Station, Hilton Jaipur is a 5-Star property, perfect for leisure as well as business travellers. The hotel features an outdoor pool, gym and spa.Elegant and contemporary rooms feature 37â€™â€™ TV, A.C, minibar, toiletries and Wi-Fi. Upgraded rooms also feature Â  private balconies and bathtubs, apart from other luxurious amenities.Refresh yourself with a swim in outdoor pool or energise yourself with a workout at fitness centre. Rejuvenate with a massage at the spa or conduct your meetings at the conference/meeting rooms. Other amenities include laundry service, tour desk, beauty salon, lounge, foreign currency exchange etc.Enjoy International delicacies at Aurum, an all-day dining restaurant or try the finest of Indian cuisine at Chaandi. Guests may relax with a drink at Krystal Bar.Hawa Mahal is three miles and City Palace is 3.7 miles from Hilton Jaipur. Birla Mandir can also be visited. Situated just 1.8 miles away from the Railway Station, Hilton Jaipur is a 5-Star property, perfect for leisure as well as business travellers. The hotel features an outdoor pool, gym and spa.Elegant and contemporary rooms feature 37â€™â€™ TV, A.C, minibar, toiletries and Wi-Fi. Upgraded rooms also feature Â  private balconies and bathtubs, apart from other luxurious amenities.Refresh yourself with a swim in outdoor pool or energise yourself with a workout at fitness centre. Rejuvenate with a massage at the spa or conduct your meetings at the conference/meeting rooms. Other amenities include laundry service, tour desk, beauty salon, lounge, foreign currency exchange etc.Enjoy International delicacies at Aurum, an all-day dining restaurant or try the finest of Indian cuisine at Chaandi. Guests may relax with a drink at Krystal Bar.Hawa Mahal is three miles and City Palace is 3.7 miles from Hilton Jaipur. Birla Mandir can also be visited.","Hotel website?‚¹7,491 Booking.com?‚¹7,492 Elvoline?‚¹8,534"
Radisson Blu Jaipur,"Jaipur, 8.2 km to City centre",https://imgio.trivago.com/partnerimages/19/24/192477828_x.jpeg,"5-6 Airport Plaza, Tonk Road, Durgapura 302018 Jaipur India",All amenitiesHotel facilities24-hour room serviceBusiness centreCar parkConciergeGymIndoor swimming poolOrganised activitiesPC with internetRestaurantWiFi in lobbyRoom facilitiesAir conditioningDeskElectric kettleFlatscreen TVFree WiFi in the roomsHairdryerInternetIroning boardKitchen / KitchenetteSatellite TVWiFi in the roomsWellness / SpaMassageSaunaSteam roomWhirlpool / JacuzziAccessibilityAccessible paths / corridorsWheelchair accessibleFor ChildrenChildcare / Babysitting,"Radisson Blu Jaipur offers deluxe five-star accommodation with a rooftop swimming pool and spa with sauna. The hotel is just a three-kilometre drive from the World Trade Park, the local area's main shopping and corporate destination.Stylish rooms include features such as marble bathrooms and complimentary high-speed Wi-Fi. Guests can sit back and watch their favourite movies on flat-screen TVs . There are superior rooms that feature a buffet breakfast option, Jacuzzis and separate living spaces.Radisson Blu Jaipur features convenient services for business travellers, including a business centre and meeting and event facilities. The hotel also has free valet parking and a fully equipped fitness centre.There is an on-site coffee shop, a Club Lounge and an interactive kitchen and all-day dining restaurant named Market Place. Atsui Restaurant offers a wide range of Pan-Asian cuisine.The hotel is conveniently situated just three kilometres from Jaipur International Airport by car. City Palace and Jantar Mantar are a 11-kilometre drive away from the hotel. Radisson Blu Jaipur offers deluxe five-star accommodation with a rooftop swimming pool and spa with sauna. The hotel is just a three-kilometre drive from the World Trade Park, the local area's main shopping and corporate destination.Stylish rooms include features such as marble bathrooms and complimentary high-speed Wi-Fi. Guests can sit back and watch their favourite movies on flat-screen TVs . There are superior rooms that feature a buffet breakfast option, Jacuzzis and separate living spaces.Radisson Blu Jaipur features convenient services for business travellers, including a business centre and meeting and event facilities. The hotel also has free valet parking and a fully equipped fitness centre.There is an on-site coffee shop, a Club Lounge and an interactive kitchen and all-day dining restaurant named Market Place. Atsui Restaurant offers a wide range of Pan-Asian cuisine.The hotel is conveniently situated just three kilometres from Jaipur International Airport by car. City Palace and Jantar Mantar are a 11-kilometre drive away from the hotel.","Booking.com?‚¹4,685 Yatra?‚¹7,671 ZenHotels.com?‚¹8,782"
Treebo Aroma Residency,"Jaipur, 2.1 km to City centre",https://imgio.trivago.com/partnerimages/25/28/252812850_x.jpeg,"D-71, Tulsi Marg, Madho Singh Circle, Bani Park 302016 Jaipur India",All amenitiesHotel facilitiesCar parkFree WiFi in lobbyLaundry serviceRestaurantRoom serviceWashing machineWiFi in lobbyRoom facilitiesAir conditioningCable TVDeskFlatscreen TVFree WiFi in the roomsInternetIroning boardSatellite TVTelephoneWiFi in the rooms,"Located in the vibrant residential neighbourhood of Bani Park, Treebo Aroma Residency offers budget accommodation within a one-kilometre walk to Crystal Mall, and four kilometres to Jaipur's Central Park.Three room types, Oak, Maple and Mahogany all feature climate control, an LCD TV with cable connection and a coffee table. Private bathrooms offer complimentary toiletries and hot water, with Mahogany rooms adding a fridge.Guests can make use of the hotel's travel desk, free on-site parking and 24-hour power supply. Additionally, a guest laundry service is available for an extra fee.The hotel's restaurant offers a complimentary breakfast, and local Indian cuisine is served for lunch and dinner. Room service is also available at Treebo Aroma Residency.The landmark Sanganeri Gate is 4.6 kilometres from Treebo Aroma Residency, with the elegant Albert Hall Museum 4.7 kilometres away. The religious Hindu Temple, Govind Dev Ji can be found 5.3 kilometres from the hotel. Located in the vibrant residential neighbourhood of Bani Park, Treebo Aroma Residency offers budget accommodation within a one-kilometre walk to Crystal Mall, and four kilometres to Jaipur's Central Park.Three room types, Oak, Maple and Mahogany all feature climate control, an LCD TV with cable connection and a coffee table. Private bathrooms offer complimentary toiletries and hot water, with Mahogany rooms adding a fridge.Guests can make use of the hotel's travel desk, free on-site parking and 24-hour power supply. Additionally, a guest laundry service is available for an extra fee.The hotel's restaurant offers a complimentary breakfast, and local Indian cuisine is served for lunch and dinner. Room service is also available at Treebo Aroma Residency.The landmark Sanganeri Gate is 4.6 kilometres from Treebo Aroma Residency, with the elegant Albert Hall Museum 4.7 kilometres away. The religious Hindu Temple, Govind Dev Ji can be found 5.3 kilometres from the hotel.","Hotel website?‚¹1,749 Hotels.com?‚¹2,187 Expedia?‚¹2,188"
The LaLit Jaipur,"Jaipur, 8.2 km to City centre",,"2B & 2C, Jagatpura Road, Jawahar Circle, Jaipur, Rajasthan. India 302017 Jaipur India",All amenitiesHotel facilities24-hour room service24-hour receptionAirport shuttleBusiness centreCar parkConciergeConference roomsDeck chairs / Sun loungersExpress check-in / outFree WiFi in lobbyGymHairdresserHotel barHotel safeLaundry serviceLiftNon-smoking roomsOutdoor swimming poolPC with internetPets allowedPorter serviceRestaurantRoom serviceWellness Centre / SpaWiFi in lobbyRoom facilitiesAir conditioningBathroom with showerCable TVDeskElectric kettleFree WiFi in the roomsHairdryerInternetIroning boardRoom safeTelephoneTelevisionWiFi in the roomsWellness / SpaSaunaSteam roomFor ChildrenChildcare / Babysitting,"Situated in the heart of Jaipurâ€™s commercial district, this five-star hotel blends modern design and traditional architecture. It features spacious guestrooms and facilities for all ages.Private suites at the The LaLit Jaipur have air conditioning, Wi-Fi access, a flat-screen television, work desk, hair dryer, and ironing equipment. Mini-bars and tea/coffee makers are also included.Along with 24-hour front desk and concierge services this hotel features a fitness centre, outdoor pool, on-site parking, and butler services. Rejuve, the onsite spa, has a salon and herbal therapy treatments. The Kid's Corner has board games and supervision for children of guests.Breakfasts are included with stays. On-site dining includes international cuisine at the 24/7 Restaurant, signature Indian dishes at Baluchi, and a selection of pastries at Le Petit CafÃ©.Just half a mile from the The LaLit Jaipur is the Jawahar Circle Garden. Hawa Mahal, Jantar Mantar, and City Palace are all about six miles away. Situated in the heart of Jaipurâ€™s commercial district, this five-star hotel blends modern design and traditional architecture. It features spacious guestrooms and facilities for all ages.Private suites at the The LaLit Jaipur have air conditioning, Wi-Fi access, a flat-screen television, work desk, hair dryer, and ironing equipment. Mini-bars and tea/coffee makers are also included.Along with 24-hour front desk and concierge services this hotel features a fitness centre, outdoor pool, on-site parking, and butler services. Rejuve, the onsite spa, has a salon and herbal therapy treatments. The Kid's Corner has board games and supervision for children of guests.Breakfasts are included with stays. On-site dining includes international cuisine at the 24/7 Restaurant, signature Indian dishes at Baluchi, and a selection of pastries at Le Petit CafÃ©.Just half a mile from the The LaLit Jaipur is the Jawahar Circle Garden. Hawa Mahal, Jantar Mantar, and City Palace are all about six miles away.","Hotels.com?‚¹7,298 Cleartrip?‚¹7,386 Agoda?‚¹7,618"
